【#你好，明天#】“新型冠状病毒可能来源于野生动物”，专家判断再次坐实病从口入。无论猎奇还是求鲜，吃野味都是疯狂冒险，一次次受到大自然“诅咒”。老饕们贪吃野味，吃出的不是品味，而是愚昧。这种陋习背离健康饮食文化，与现代文明格格不入。为了自己，为了他人，请拒绝野味。#支持禁绝野味市场#,1月22日 23:58 来自 微博 weibo.com,https://m.weibo.cn/detail/4463684271078362
【#北京新增4例确诊新型肺炎#病例】#北京确诊14例新型肺炎病例#北京石景山区45岁男性患者，1月11日赴武汉，1月14日返京，1月19日出现发热症状，1月21日在我市医疗机构就诊；西城区42岁男性患者，于1月11日和1月18日两次赴武汉，1月19日返京，1月20日出现发热症状，在我市医疗机构就诊；常住武汉市的33 ...展开全文c,1月22日 23:45 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4463680994986671
谢谢你，疫情中的逆行者！感谢有你，盼你平安！#致敬白衣战士#,1月22日 23:26 来自 微博 weibo.com,https://m.weibo.cn/detail/4463676142582329
【人民微评：#防控疫情多助力莫添乱#！】口罩经营者哄抬物价，甚至串通涨价，不仅冒犯了公众情感，也触犯了法律。疫情当前，更需守法经营，别为了一时的畸形利益而扭曲经营之道。对不法行为依法查处，还应激励生产厂家供应足量口罩，投放市场，满足民众所需。防控疫情，把口罩戴起来！,1月22日 23:09 来自 微博 weibo.com,https://m.weibo.cn/detail/4463671831295968
【#河北确诊首例新型肺炎病例#】22日，国家卫生健康委确认河北省首例新型冠状病毒感染的肺炎确诊病例。患者李某，男，72岁，武汉市人。1月18日，李某来石家庄探亲，19日因发热、咳嗽入院隔离治疗。经国家和河北省疾控中心病毒核酸检测，结果为阳性。当前，患者继续在定点医院隔离治疗，病情平稳。河北 ...展开全文c,1月22日 22:50 来自 微博 weibo.com,https://m.weibo.cn/detail/4463667158451336
【#武汉确诊新型肺炎363例死亡9例#】截至1月21日24时，武汉市累计报告新型冠状病毒感染肺炎病例363例，已治愈出院28例，死亡9例。其中，#武汉新增确诊新型肺炎105例#，新增死亡病例3例。 L人民日报的微博视频,1月22日 22:43 来自 微博云剪,https://m.weibo.cn/detail/4463665228985029
【#新型肺炎已致湖北17人死亡#】#湖北新型肺炎累计444例死亡17例#湖北省政府召开新闻发布会，截至今天晚上8点，湖北省累计报告新型冠状病毒感染病例444例，17人死亡。,1月22日 22:24 来自 微博 weibo.com,https://m.weibo.cn/detail/4463660589976405
【#新型肺炎已致湖北17人死亡#】#湖北新型肺炎累计444例死亡17例#湖北省政府召开新闻发布会，截至今天晚上8点，湖北省累计报告新型冠状病毒感染病例444例，17人死亡。,1月22日 22:21 来自 微博 weibo.com,https://m.weibo.cn/detail/4463659813970854
【#人民直播#：#湖北新型肺炎防控工作新闻发布会#】22日，湖北省召开新闻发布会，通报全省新型冠状病毒感染肺炎疫情防控工作。关注！ O人民日报的微博直播 .,1月22日 22:13 来自 微博原生直播,https://m.weibo.cn/detail/4463657897400808
【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相 ...展开全文c,1月22日 22:05 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4463655880212310
