"【#北京新增4例确诊新型肺炎#病例】#北京确诊14例新型肺炎病例#北京石景山区45岁男性患者，1月11日赴武汉，1月14日返京，1月19日出现发热症状，1月21日在我市医疗机构就诊；西城区42岁男性患者，于1月11日和1月18日两次赴武汉，1月19日返京，1月20日出现发热症状，在我市医疗机构就诊；常住武汉市的33岁女性患者，出现发热症状后，于1月20日在我市医疗机构就诊；武汉市33岁女性患者，1月18日来京，暂住朝阳区，1月20日在我市医疗机构就诊。根据临床症状和流行病学调查，经疾病预防控制中心检测、专家组评估，以上4名患者今日确诊为新型冠状病毒感染的肺炎病例。4名患者病情平稳，在定点医院接受隔离治疗。现已对35名密切接触者开展医学观察，目前无发热等异常情况。
【#武汉教育局回应中小学能否按期开学#】今天，武汉市教育局发布《致全市中小学师生及家长的一封信》，倡议做好防护工作。对于2020年春季，各中小学校和市属高校能否按期开学，武汉教育局回应：将根据疫情发展和防控情况，按照统一部署，会商市卫健委，并报告上级教育主管部门。如确需调整，将及时通过官方网站、微博、媒体等渠道及时告知家长和社会。（范昊天）,1-22 16:47,"评论
19483",建议大学生推迟开学,建议全国都推迟,大学生大学生,新疆西藏青海中国最后一道防线，大西北给我挺住,大学生停课 还有武汉的学生回各大高校上学怎么办……,别的省能不能考虑一下,大学生从各个地方赶去 更应该重视啊,保护我方高三学子,高三怎么办啊 我很多朋友艺术生传媒生全都不能参加校考了 可以对湖北考生延期吗 难道眼睁睁看着他们放弃？,所有学生一视同仁吧。,全国都注意一下,全国都延迟开学吧,大学生呢？??,强烈建议加强农村偏远地区的宣传，从全国各地返乡的，都很有可能携带病毒，这两天将会是春运的最高峰，农村的人这方面意识比较薄弱，很有可能不知道病毒的可怕，所以请乡村干部们加强病毒的防治措施，加大病毒可怕的宣传力度！,我觉得全国都不能开学啊！,请给铁路工作者们配备口罩和防护服吧！！！！（普速列车、高铁、动车） 他们接触大量旅客 很容易被感染 同时也因为接触大量旅客所以绝对不能被感染！！请允许他们戴口罩吧，不要因为仪容仪表 我们旅客不在乎 正值春运 火车属于密闭空间！车上全国各地的人都有@中国铁路@中国铁路,疫情严重肯定会延期开学的
【#辽宁确认2例新型肺炎#病例：1人在武汉工作，1人曾在武汉机场停留】22日，国家卫生健康委确认辽宁省首例输入性新型冠状病毒感染的肺炎确诊病例。首例患者男性，33岁，在武汉工作，1月11日出现发热、畏寒，1月17日返回大连，当日因发热、咳嗽等症状入院隔离治疗，患者属重症病例，生命体征平稳。第二例患者男性，40岁，在湖北省仙桃市工作，1月13日回抚顺探亲，乘飞机至沈阳途中在武汉机场停留2小时。1月14日因自觉身体酸痛先后在抚顺市医疗机构就诊；1月19日，因发热、咳嗽等症状在沈阳市一定点医院发热门诊就诊，并被收治入院隔离治疗，患者症状较轻。目前，两例患者密切接触者均在医学观察中。,1-22 16:29,"评论
2732",机场停留就,停留2小时就？？？,在武汉机场停留两个小时？？？,仅在机场停留？？？这太可怕了,在机场停留就？？？？,大连这个39度上飞机，还TM坐地铁，坐公交去大连中心医院。就是个坑B,这个更新看多了，总觉得自己身体哪里不对,平安,这。。。停留两小时就被感染了 武汉还能待吗,仙桃工作在武汉停留，要么就是停留期间与在武汉的感染者有接触，要么就是仙桃也有感染者，可能未就医等原因未发现。总之这个事情来看，病毒的传染性可能正在提升。,坐飞机的一群人，然后这个飞机还会飞向别的地方，诶。,全国各地都有，不要认为自己的所在城市没有报道出来就是安全，潜在的病号数不胜数，我们要做的是保护好自己。,肺炎都给我滚开！！！,愿平安，武汉的朋友们别跑了！,武汉封城吧！集中观察，集中治疗，别再扩散了！！！
【#在朝阳医院行凶犯罪嫌疑人被批准逮捕#】#朝阳医院行凶嫌犯被批捕#北京市公安局于2020年1月21日，以涉嫌故意杀人罪，将犯罪嫌疑人崔振国移送北京市人民检察院第三分院审查逮捕。检察机关经提前介入、引导侦查并认真审查，于2020年1月22日，依法以涉嫌故意杀人罪对崔振国批准逮捕。（彭波）,1-22 16:03,"评论
34569",死刑,死刑,死刑吧,死刑,请让死刑,建议死刑,死刑,死刑,建议死刑,死刑,死刑。给广大医生们一个交代,建议死刑,死刑,能死刑吗 迫切的希望他死,死刑吧,死刑,死刑，谢谢,行凶这个词用的好，暴力伤医不是医“闹”，是犯罪。,死刑！直系亲属不准就医
【#教育部部署疫情防控工作#：#学校非必要不举办聚集性活动#】21日，教育部发出通知要求教育系统做好新型冠状病毒感染的肺炎疫情防控工作。通知要求，非必要不举办聚集性活动，切实落实学校传染病防控各项要求。发生疫情地区的教育行政部门，要制定严谨周密的防控方案，根据疫情发展情况，做好开学师生返校预案及相关准备工作。网页链接,1-22 15:39,"评论
4787",应该推迟开学吧,高三的还在补课啊！,没想到今年的年货是口罩。,阿冠听我的 谁吃的野味你去找谁 让大家好好过年吧,武汉那么多大学 真的推迟开学吧 减少人员流动！！！！！！！,推迟开学吧,就算不活动，学校上课，食堂，浴室宿舍都是无法避免的人口密集,可以不开学了吗,上课算聚集性活动吗,那就推迟开学吧,SARS过后，广东不仅扑杀了全部果子狸，并且禁止了野生动物交易。 事实上，人类进化到今天，8000年历史，老祖宗把最好吃的、最能吃的都给我们了，对于摄取蛋白质都足够了。野生动物提供不了什么特别的东西。,保护好各位医护工作者，尤其要保护好钟南山院士啊！80多岁的人了，为此尽心竭力，到处奔波，还奋战在武汉第一线，他不仅是首席专家，还是中国抗病毒的旗帜，是精神支柱，防护工作一定要加强啊。,年后的研究生复试怎么办？？？,开学时间延期吧，孩子是祖国的未来,我一个舍友武汉，一个舍友日照，一个舍友青岛.....,我们2月1就要开学....,学校人群密集 可不可以延迟开学,延迟开学 没必要狗头保命 很正经的事
【#北京严查借疫情防疫之机哄抬物价#行为】北京市场监管部门22日宣布已部署开展全面价格监管工作，严肃查处借疫情防疫之机囤积居奇、捏造散布涨价信息、哄抬物价等扰乱市场价格秩序的价格违法行为。欢迎广大市民积极拔打12345进行投诉举报，一经查实，监管部门将依法严肃处理，对情节恶劣的典型案件，将公开曝光。（林丽鹂）,1-22 15:16,"评论
6367",发国难财的都biss,没想到今年的年货是口罩,但凡那么几个憨批管住自己的b嘴 不吃野味 也不至于全国乃至全世界为他们善后,一个N95 100多,没用 黑龙江这偏远小县城 昨晚买普通口罩9.8/袋 今天买就涨到19.8/袋，给12315举报人家说：现在都是市场经济了，我们也没法管，买的多了自然就会涨，供不应求了嘛 政府全有理，吃亏的还是我们消费者，管控？呵呵（请送我上去谢谢,淘宝搜了半圈几乎没找到什么正经经营卖医用外科口罩的卖家，销售者要么刻意模糊产品性能涉嫌销售欺诈，要么涨价几倍甚至近十倍恶意哄抬物价。可能由于有关部门在查这个事，大部分销售者纷纷下架店铺相关商品。希望监管部门也多多关注一下网络销售平台！！！,拜托电视上多多宣传吧 还有短信 老人们真的不知道,别发国难财,别罚太重，毕竟人家只是想赚点钱过年，就罚这些人戴着自已的口罩去隔离病房打扫一下卫生吧！,为什么元旦前发现的时候不及时的采取措施，专家说的可控可信吗，他们都没有结论的，那也是造谣吧？为了不让市民恐慌就不积极防范，就今天这个局面市长也说了，预警不足……拿生命开玩笑呢，前天我刚从武汉回来，现在我只能在房间里面都不敢出去，吃饭也是叫我爸妈送给我吃，这个潜伏期那么长,还记得h7n9吗！！病毒最后会被打败的！！加油！！医护人员辛苦了！大家出门一点要带好口罩，要勤洗手！,发国难财必遭天打雷劈,别北京了，淘宝就要治一治了,淘宝上一包口罩950块，这种钱，赚了昧良心,发国难财的遭天谴哈,淘宝上口罩的价格了解一下,灾难已经上升到国家层面，也可以说国难当头，那些趁机哄抬物价的不良商家，你们良心在哪？,我们这里卖口罩的，昨天十块钱三个，今天四十五三个，接着打了12345反映，政府部门下午就去查了，效率不错。,发灾难财的真的没有心
【转存正确戴法！#医用外科口罩怎么戴正确#？】如何区分口罩内外上下？口罩鼻夹如何使用？如何确认口罩密闭性？#医用外科口罩#用法详解↓↓↓收藏备用！新华视点的秒拍视频,1-22 14:03,"评论
3720",我现在在G185上，乘务员都没戴口罩，询问了一下据说领导说上班时间不能戴口罩，有没有哪个部门可以管一管？？？？？？凭什么不让人家乘务员戴口罩啊？？？？？？？？,没想到今年的年货是口罩,怎么才能劝到父母戴口罩呢,最可怕的是在银行上班然后上级领导下命令不让带口罩大过年的接触那么多外来人口,请某些人把“离武汉人远一点”“呆在武汉别出来” 换成：“武汉挺住”、“武汉加油”。 不漠视也不夸大 向所有奋斗在一线的工作者致敬！,药店都说断货了,买不到,强烈建议把新型肺炎俗称为武汉传染性野味肺炎（搬网上的）,我爸是机场的边检人员 他的领导今天还不让他们戴口罩 机场每天那么多从武汉回来的航班居然不让戴口罩 这是什么领导,强烈建议武汉封城！ 现在爆出来疫情严重的都是发达地区，欠发达地区疫情也不容乐观，而且欠发达地区人民防范意识淡漠，很难做到切断传染源。,有没有人知道使用过的口罩应该怎么处理,医生太贴心了，连怎么打开包装袋和怎么取出口罩都要一步一步教给大家,麻烦看看爱彼迎的退款 客服电话形同虚设,现在的问题是实体店买不到，网店有些明显涨价，涨价也认了，但是好多以次充好，一般口罩冒充医用外科口罩。,正确佩戴，保护自己！[加油][加油][加油],以前看过一个科普类视频，好像是央视10台的，测试了很多口罩，空气进出的口是从脸颊或者鼻翼的地方，这样反而起不到口罩的作用。大家一定要购买正确的口罩，按照正确的方式佩戴口罩！
【#湖北将重罚坐地起价口罩经营者#，消费者若发现价格违法行为，可打12315举报】受突发疫情、春节客运等因素影响，部分地区商品特别是口罩等医用商品价格出现波动，湖北省市场监管局针对经营者发布四条警示，严禁口罩坐地起价。警示指出，严禁相互串通，趁机涨价；囤积居奇，操纵市场价格；价格欺诈；捏造、散布涨价信息，哄抬价格等行为。凡发现经营者有上述违法行为，将予以从重处罚。消费者若发现有价格违法行为，拨打12315热线投诉举报！最新！湖北省市场监管局对口罩等医用商品价格行为进行重点监管,1-22 13:05,"评论
8926",发国难财biss,看着数字不断的增加，再看看周围人的漠视，真的很无奈。早上坐出租，戴口罩，司机还说我们这没有发现呢，干嘛搞得这么紧张？就是因为有那么多不重视不相信的人确诊疑似病例才向全国蔓延。赶上春节人口流动这么大，可就是有人不愿意预防，谁也不知道周围哪个人是潜在病毒携带者，真的很无奈,全国实施谢谢！！发国难财的没有心,现在淘宝口罩坐地起价的商家都给截图了 等熬过了这个坎 再把这些商家挂出来 然后问问他们b脸还要不要了 挣这些钱希望他们花不了 只能家里人上f的时候给他们烧过去,虽然我们要相信国家科技，要相信医疗人员，可是必须说的是，现在医疗人员奋战一线也是非常危险的，大家真的只能从自身做起，防患于未然，才是减少国家和医疗人员的负担。可能信息的传播真的有延迟，所以大家更应该把信息传播给身边的人，让大家引起重视,发国难财的，你的良心不会痛么,我想问下什么价格才是正常的价格?,适当涨点无可厚非，如借病毒灾害之际哄抬价格支持严惩！,发国难财者100倍判罚,干得漂亮,发国难财的，你的老公不会爱你，你的婆婆不会看中你，你的儿子背着你出去偷偷做0,那个，淘宝商家，坐地起价。还有各地药房的口罩全部脱销，且几乎没有药房有医用外科口罩。,我在天济大药房买6.5一袋 另一个药店25,但凡那么几个憨批管住自己的b嘴 不吃野味 也不至于全国乃至全世界为他们善后,其实可以微微涨价，毕竟很多工厂过年没货，需要多付工人工资才能生产，但是不能哄抬。,有的电商翻了好多倍！,刚才我说我屯了一百个口罩。有个杠精说我，就是因为我这种行为。才让淘宝和药店的人坐地起价。。。。真是搞笑了。。。
【#全国已确诊新型肺炎病例324例#】#新型肺炎疫情最新汇总#：截至1月22日7时，新型冠状病毒感染肺炎确诊324例。其中，湖北270例，北京10例，广东17例，上海6例，浙江5例，天津2例，河南1例，重庆5例，四川2例，山东1例，江西2例，湖南1例，云南1例，台湾1例。,1-22 08:41,"评论
4391",福建挺住,江苏福建希望能挺住！,女朋友就在武汉某医院上班，看着她好辛苦，唯一能帮她做就是晚上给她揉揉肩，按按腿，给她倒杯水。请大家不要恐慌，更不要造谣，一切都会好好的！武汉加油,病毒有潜伏期，希望最近从武汉回家的大学生，群众朋友们，有任何不舒服一定要去医院检查一下，保护好自己，为了家人朋友也为了其他人民群众的安全，谢谢你们,三大运营商给用户发个提醒短信吧，老一辈不上微博,真的想对那些野味爱好者们说一句：你们要自己作死一边玩去，伤害到无辜的人就是作孽！！！,陕西挺住啊！！,内蒙挺住,我想说的是，有些正在从武汉出来的自己都不知道戴口罩，脑子想什么那？其他地方防护得再好你们疫情中心地带都没做到个个重视有什么用那？能不能戴好口罩？露着脸给谁看那？,祈祷江苏福建没有,辽宁到底什么情况啊 一会有一会没有的,全国各地都有，不要认为自己的所在城市没有报道出来就是安全，潜在的病号数不胜数，我们要做的是保护好自己。,河北你给我挺住！大家一定会平安度过的！,山西挺住,所以，我们可能延迟开学吗，我真的好怕,江苏挺住
"【#江西确诊2例新型肺炎#病例 患者曾到武汉】据江西省卫生健康委通报22日凌晨通报，1月21日，国家卫生健康委确认我省首例输入性新型冠状病毒感染的肺炎确诊病例。患者罗某某，男，56岁，抚州市东乡区人。2019年12月20日赴武汉市进货，2020年1月9日返回东乡区。1月10日，因发热、咳嗽等症状入院隔离治疗。1月21日，经国家卫生健康委疫情领导小组下设的诊断组专家确认为新型冠状病毒感染的肺炎确诊病例。目前，患者属重症病例，其密切接触者43人均在医学观察中。
1月21日，按照《新型冠状病毒感染的肺炎诊疗方案》（试行第二版）规定，省级专家组确认我省第２例新型冠状病毒感染的肺炎确诊病例。患者陈某某，男，50岁，萍乡市湘东区人，曾到武汉市从事活禽交易工作。2020年1月2日返回湘东区。1月10日，因发热、咳嗽等症状入院隔离治疗。目前，患者属重症病例，但病情趋向好转，其6名密切接触者均实施医学观察，无异常。
截至1月21日23时，江西省共确认新型冠状病毒感染的肺炎确诊病例2例。（本报记者王丹）",1-22 06:14,"评论
1326",三大通讯运营商 发信息提示提示吧！好多人不玩微博的 特别是年纪大的人。我认为真的很有必要,这两天打车上下班发现司机师傅们基本都没有戴口罩，司机每天也要在密闭空间接触很多乘客，这两天遇到了一直在替醒，他们每天跑在路上不怎么看手机，我不知道现在个个电台有没有随时提醒，希望司机们能引起重视,最麻烦的就是 就算武汉人都不出门 在武汉过路以及中转的人还是太多了 根本防不住,经历过非典和这次之后，中国真的要大力的整顿打击肉制品市场，捕杀和贩卖野生动物应该立法，无论是不是保护动物，都要有刑罚。另外真的要整顿生禽市场，要统一捕杀统一加工,呜呜呜呜呜江西人民加油！！,河北河北挺住,不止武汉加油中国加油我们一起战胜这个没有硝烟的战争,家里的人还不以为然，就我一个人怕的要死，跟他们说还不信，说我多事，说我叫我不要乱传谣言，我……,上网查了一下资料非典时期病情全球有8000多列，死亡774人，而这新型肺炎目前已经有300多列了，也存在人传染人，在不赶紧预防，真的要赶上2003年的非典了，不过现在的技术先进不比以前，一定会很快结束的,现在看来，几乎所有新发现的感染者都是去过武汉，因为最长有2周潜伏期，为了避免爆发式传染，希望政府果断采取措施，14天无症状才可以离开武汉。,我该吃吃，该喝喝。自始至终没有恐慌感！因为我相信我们国家的医疗水平，和防止措施。粮有袁隆平，医有钟南山！这就是我们国家的保障！有什么好怕的！,现在都不敢刷新微博，害怕，请普及到农村，很多务工返乡人员没有意识到严重性！！！,政府强力介入后，人口流动性下降，易感人口总量会减少，这确实会减少疫情暴发周期和强度。但是，因为叠加春运，接下来一个月可能会出现一个爆发高潮。因为病毒的潜伏期最长可以达两周，且潜伏期也可能具有传染性。这会给防疫带来一定困难。所以，要呼吁大家春节期间减少走动，做好防护。,全国各地都已经出现病情了，不要认为自己的所在城市没有报道出来就是安全，潜在的病号数不胜数，我们要做的是保护好自己。今年春节返程时候才是最关键的，尤其是北上广深地区,陕西的撑住啊！,其实我现在真的很害怕，我这趟车终点站是武汉，但是车上人不多，证明很多在武汉的外地人都没有强求回家过年，真的谢谢你们了。最后，医务人员真的伟大，处在一线，救死扶伤，谢谢所有的医务人员们，以后谁敢伤医，就是与全体中国人为敌！,感觉比较奇怪的是这些感染的人都到过武汉，而武汉本地一千万人口目前确诊的是三百例。这说明外地人去武汉最终感染的比例远高于本地人感染的比例。进一步说明他们应该接触了同样的东西导致感染，人传人的概率远小于传染源传染的概率，这个传染源似乎很强大。可以调查他们去武汉之后的活动，找出感染源
【四川中医药管理局公布#预防呼吸道传染病中医处方#】为充分发挥中医药在应对新型冠状病毒感染的肺炎中的作用，四川省中医药管理局组织专家，讨论拟定了《2019-2020年冬春季呼吸道传染病预防建议处方》↓转需！#四川公布预防呼吸道传染病中医处方#（宋豪新）,1-21 21:46,"评论
