野味,1,-1
,,
就诊,1,-1
,,
盼,1,1
,,
佩戴,1,1
,,
排查,1,-1
,,
手,1,0
,,
王涛,1,0
,,
致敬,1,1
,,
谣言,1,-1
,,
晚,1,0
,,
费用,1,-1
,,
黄某,1,0
,,
宁夏,1,0
,,
发热,1,-1
,,
防范,1,-1
,,
中小学,1,0
,,
开学,1,1
,,
犯罪嫌疑人,1,-1
,,
阿坝,1,0
,,
哄抬物价,1,-1
,,
我省,1,0
,,
专家,1,1
,,
打喷嚏,1,-1
,,
现在,1,0
,,
人民医院,1,1
,,
武汉大学,1,1
,,
澳门,1,0
,,
最新,1,0
,,
存在,1,0
,,
湖北日报,1,0
,,
生死,1,-1
,,
疑似病例,1,-1
,,
合肥,1,0
,,
另行通知,1,-1
,,
筛查,1,1
,,
仪,1,0
,,
通告,1,-1
,,
鼠年,1,1
,,
鼠,1,0
,,
努力,1,1
,,
勇敢,1,1
,,
四川,1,0
,,
进行,1,0
,,
向上,1,1
,,
制裁,1,-1
,,
广发,1,0
,,
可控,1,1
,,
科学家,1,1
,,
白敬亭,1,0
,,
水母,1,1
,,
星,1,0
,,
遇到,1,0
,,
值得,1,1
,,
打印,1,0
,,
报销,1,1
,,
职,1,0
,,
考试,1,0
,,
关注,1,1
,,
月食,1,1
,,
半影,1,0
,,
接警,1,-1
,,
魏传忠,1,0
,,
检验,1,0
,,
地点,1,0
,,
特等奖,1,1
,,
造,1,0
,,
医护人员,1,1
,,
让路,1,1
,,
支线,1,0
,,
ARJ,1,0
,,
天气预报,1,0
,,
杜少平,1,-1
,,
维持原判,1,0
,,
核潜艇,1,1
,,
获奖者,1,1
,,
京东,1,0
,,
人民日报,1,0
,,
蝶,1,1
,,
饭,1,1
,,
战争,1,-1
,,
勤奋,1,1
,,
感谢,2,1
,,
治疗,2,1
,,
累计,2,-1
,,
医院,2,0
,,
检测,2,-1
,,
人民,2,1
,,
救治,2,1
,,
病毒,2,-1
,,
健康,2,1
,,
退票,2,-1
,,
旅客,2,0
,,
台湾,2,0
,,
症状,2,-1
,,
采取,2,0
,,
自律,2,1
,,
故宫博物院,2,1
,,
古镇,2,0
,,
微博,2,0
,,
抽奖,2,0
,,
孙杨,2,0
,,
法,2,0
,,
动物,2,0
,,
征信,2,0
,,
报告,2,0
,,
孤独,2,-1
,,
灯会,2,1
,,
南京,2,0
,,
民警,2,0
,,
儿子,2,1
,,
父母,2,1
,,
新增,2,-1
,,
应急,2,-1
,,
幸福,2,1
,,
GDP,2,1
,,
突破,2,1
,,
馒头,2,0
,,
问题,2,-1
,,
2月,2,0
,,
视频,2,0
,,
孩子,2,1
,,
生物,2,0
,,
新年,2,1
,,
网友,2,0
,,
温暖,2,1
,,
执勤,2,1
,,
库车,2,0
,,
春晚,2,1
,,
人生,2,1
,,
期刊,2,0
,,
香港,2,0
,,
训练,2,1
,,
吴花燕,2,0
,,
回家路上,2,1
,,
武警,2,0
,,
辅警,2,0
,,
最好,2,0
,,
论文,2,0
,,
发现,2,0
,,
老人,2,0
,,
催,2,-1
,,
婚,2,1
,,
期待,2,1
,,
天眼,2,1
,,
农民工,2,0
,,
喜欢,2,1
,,
突然,2,0
,,
支持,2,1
,,
工作,3,1
,,
价格,3,-1
,,
确诊,3,-1
,,
感染,3,-1
,,
时间,3,0
,,
钟南山,3,1
,,
妈妈,3,1
,,
我国,3,1
,,
爸妈,3,1
,,
过年,3,1
,,
总统,3,0
,,
缅甸,3,0
,,
卫星,3,0
,,
协议,3,0
,,
学术,3,0
,,
名字,3,0
,,
医生,3,1
,,
报警,3,-1
,,
舰,3,0
,,
美国,4,-1
,,
武汉市,4,-1
,,
春运,4,1
,,
故宫,4,1
,,
春节,4,1
,,
消防员,4,1
,,
防控,5,1
,,
生活,5,1
,,
伊朗,5,-1
,,
武汉,6,0
,,
口罩,7,0
,,
地震,7,-1
,,
国家,8,1
,,
中美,8,-1
,,
回家,11,1
,,
1月,14,-1
,,
疫情,14,-1
,,
冠状病毒,14,-1
,,
中国,14,1
,,
祖国,16,1
,,
病例,17,-1
,,
患者,17,-1
,,
例,19,-1
,,
肺炎,22,-1
